game,current players,peak today
Counter-Strike: Global Offensive,"894,909","894,909"
Dota 2,"651,368","656,593"
PLAYERUNKNOWN'S BATTLEGROUNDS,"391,754","391,754"
Fall Guys,"159,702","172,213"
Grand Theft Auto V,"139,694","140,150"
Tom Clancy's Rainbow Six Siege,"100,214","101,322"
Football Manager 2020,"90,384","90,384"
Source SDK Base 2013 Multiplayer,"75,983","92,721"
Team Fortress 2,"72,098","92,704"
Destiny 2,"71,067","75,951"
Warframe,"67,338","67,338"
ARK: Survival Evolved,"65,091","65,091"
Rust,"60,713","71,164"
Monster Hunter: World,"54,941","56,600"
Dead by Daylight,"53,047","54,750"
NBA 2K20,"48,019","48,019"
Wallpaper Engine,"46,866","47,424"
Sid Meier's Civilization VI,"44,304","45,827"
Rocket League,"40,534","63,920"
Risk of Rain 2,"35,636","43,058"
