time,ARK: Survival Evolved,Warframe,Destiny 2,Monster Hunter: World,Team Fortress 2,NBA 2K20,Grand Theft Auto V,Wallpaper Engine,Dota 2,Dead by Daylight,Source SDK Base 2013 Multiplayer,Rust,Football Manager 2020,Counter-Strike: Global Offensive,PLAYERUNKNOWN'S BATTLEGROUNDS,Fall Guys,Tom Clancy's Rainbow Six Siege,Risk of Rain 2,Among Us,Sid Meier's Civilization VI,Terraria,Rocket League
2020-08-23 15:43:00,"46,777","51,389","60,913","42,044","69,722","37,236","97,790","40,668","475,215","38,974","40,179","44,874","46,196","590,442","307,944","137,822","64,791","36,846","32,654",0,0,0
2020-08-23 15:44:00,"46,777","51,389","60,913","42,044","69,722","37,236","97,790","40,668","475,215","38,974","40,179","44,874","46,196","590,442","307,944","137,822","64,791","36,846","32,654",0,0,0
2020-08-23 15:55:00,"47,039","51,389","60,267","42,262","69,825","37,284","99,128","40,855","480,314","38,959","40,067","44,896","47,033","598,509","314,862","136,160","64,962","36,369","31,485","32,436",0,0
2020-08-23 16:15:00,"47,398","51,355","59,064","42,640","69,128","37,256","101,260","41,281","489,641","38,650","40,108","44,875","49,064","611,962","326,541","132,005","65,246","35,206","29,057","32,498",0,0
2020-08-23 16:20:00,"47,540","51,441","58,765","42,775","68,926","37,300","101,788","41,412","492,650","38,650","40,159","44,937","49,616","615,678","329,469","130,851","65,363","35,026","28,298","32,535",0,0
2020-08-23 16:35:00,"48,060","51,698","57,970","43,099","68,357","37,542","103,671","41,805","498,964","38,615","40,424","45,151","51,314","629,215","336,274","127,691","65,569","34,111",0,"32,773","27,488",0
2020-08-23 16:40:00,"48,212","51,892","57,701","43,129","68,501","37,667","104,315","41,896","501,903","38,530","40,617","45,319","51,935","632,131","337,851","126,222","65,667","33,857",0,"32,861","27,571",0
2020-08-23 18:10:00,"51,781","55,300","55,362","43,444","70,502","39,559","111,819","42,690","526,651","38,604","44,465","48,934","64,730","684,192","330,752","124,149","66,043","29,983",0,"34,553","28,022",0
2020-08-23 18:15:00,"51,980","55,623","55,165","43,209","70,172","39,559","112,131","42,690","526,651","38,604","45,180","49,270","65,433","686,406","327,726","124,041","65,882","29,789",0,"34,657","28,022",0
2020-08-23 18:55:00,"53,139","56,153","54,504","41,417","71,415","39,719","113,601","42,184","525,141","38,766","49,930","51,303","71,138","694,880","296,233","120,798","65,484","28,646",0,"35,598","28,027",0
2020-08-23 19:00:00,"53,275","56,273","54,484","41,178","71,415","39,910","113,601","42,361","524,195","38,766","50,169","51,601","71,791","694,886","292,477","120,747","65,466","28,470",0,"35,670","28,087",0
2020-08-23 19:05:00,"53,344","56,284","54,484","40,901","70,862","40,096","113,601","42,432","523,245","38,766","50,169","52,066","72,311","695,324","288,131","120,710","65,437","28,304",0,"35,786",0,"28,364"
2020-08-23 19:10:00,"53,520","56,403","54,531","40,579","67,210","40,096","113,500","42,432","522,544","38,716","50,994","52,273","72,777","698,083","280,841","120,579","65,527",0,0,"35,824","28,128","28,573"
2020-08-23 19:15:00,"53,736","56,465","54,653","40,579","67,551","40,096","113,526","42,432","522,544","38,805","51,839","52,636","73,306","702,113","280,841","120,579","65,634",0,0,"35,868","28,128","28,770"
2020-08-23 19:20:00,"53,910","56,581","54,763","40,396","67,633","40,111","113,721","42,419","522,500","38,879","52,511","52,853","73,757","702,113","277,710","120,572","65,636",0,0,"35,986","28,089","28,980"
2020-08-23 22:35:00,"65,091","67,338","71,067","54,941","72,098","48,019","139,694","46,866","651,368","53,047","75,983","60,713","90,384","894,909","391,754","159,702","100,214","35,636",0,"44,304",0,"40,534"
2020-08-23 22:40:00,"65,281","67,500","71,550","55,194","72,258","48,099","140,000","46,927","654,259","53,381","76,606","60,841","90,787","897,316","393,211","160,758","100,680","35,844",0,"44,509",0,"40,746"
